unit,sex,age,region,year,value
YR,T,Y69,UK,2011,16.8
YR,M,Y84,UK,2011,6.7
YR,F,Y32,UK,2011,51.6
YR,F,Y31,UK,2011,52.6
YR,T,Y25,UK,2011,56.7
YR,M,Y25,UK,2011,54.8
YR,M,Y24,UK,2011,55.7
YR,F,Y56,UK,2011,28.9
YR,T,Y11,UK,2011,70.5
YR,M,Y59,UK,2011,23.3
YR,T,Y6,UK,2011,75.4
YR,T,Y53,UK,2011,30.1
YR,M,Y42,UK,2011,38.5
YR,M,Y39,UK,2011,41.3
YR,F,Y25,UK,2010,58.1
YR,F,Y83,UK,2010,8.1
YR,M,Y57,UK,2010,24.7
YR,M,Y83,UK,2010,7.0
YR,T,Y45,UK,2010,37.1
YR,M,Y75,UK,2010,11.2
YR,T,Y55,UK,2010,28.0
YR,T,Y30,UK,2010,51.4
YR,F,Y48,UK,2010,35.9
YR,T,Y69,UK,2010,16.5
YR,M,Y84,UK,2010,6.6
YR,F,Y32,UK,2010,51.3
YR,F,Y31,UK,2010,52.2
YR,T,Y25,UK,2010,56.3
YR,M,Y25,UK,2010,54.3
YR,M,Y24,UK,2010,55.3
YR,F,Y56,UK,2010,28.6
YR,T,Y11,UK,2010,70.1
YR,M,Y59,UK,2010,23.0
YR,T,Y6,UK,2010,75.0
YR,T,Y53,UK,2010,29.8
YR,M,Y42,UK,2010,38.1
YR,M,Y39,UK,2010,40.9
YR,F,Y25,UK,2009,58.1
YR,F,Y83,UK,2009,8.1
YR,M,Y57,UK,2009,24.5
YR,M,Y83,UK,2009,6.9
YR,T,Y45,UK,2009,37.0
YR,M,Y75,UK,2009,11.1
YR,T,Y55,UK,2009,27.9
YR,T,Y30,UK,2009,51.3
YR,F,Y48,UK,2009,35.8
YR,T,Y69,UK,2009,16.4
YR,M,Y84,UK,2009,6.5
YR,F,Y32,UK,2009,51.2
YR,F,Y31,UK,2009,52.2
YR,T,Y25,UK,2009,56.1
YR,M,Y25,UK,2009,54.1
YR,M,Y24,UK,2009,55.0
YR,F,Y56,UK,2009,28.5
YR,T,Y11,UK,2009,69.9
YR,M,Y59,UK,2009,22.8
YR,T,Y6,UK,2009,74.8
YR,T,Y53,UK,2009,29.6
YR,M,Y42,UK,2009,37.9
YR,M,Y39,UK,2009,40.7
YR,F,Y25,UK,2008,57.5
YR,F,Y83,UK,2008,7.7
YR,M,Y57,UK,2008,24.0
YR,M,Y83,UK,2008,6.7
YR,T,Y45,UK,2008,36.4
YR,M,Y75,UK,2008,10.7
YR,T,Y55,UK,2008,27.4
YR,T,Y30,UK,2008,50.7
YR,F,Y48,UK,2008,35.2
YR,T,Y69,UK,2008,15.9
YR,M,Y84,UK,2008,6.3
YR,F,Y32,UK,2008,50.6
YR,F,Y31,UK,2008,51.6
YR,T,Y25,UK,2008,55.6
YR,M,Y25,UK,2008,53.6
YR,M,Y24,UK,2008,54.6
YR,F,Y56,UK,2008,27.9
YR,T,Y11,UK,2008,69.3
YR,M,Y59,UK,2008,22.4
YR,T,Y6,UK,2008,74.3
YR,T,Y53,UK,2008,29.1
YR,M,Y42,UK,2008,37.5
YR,M,Y39,UK,2008,40.3
YR,F,Y25,UK,2007,57.4
YR,F,Y83,UK,2007,7.7
YR,M,Y57,UK,2007,23.9
YR,M,Y83,UK,2007,6.7
YR,T,Y45,UK,2007,36.3
YR,M,Y75,UK,2007,10.6
YR,T,Y55,UK,2007,27.3
YR,T,Y30,UK,2007,50.6
YR,F,Y48,UK,2007,35.2
YR,T,Y69,UK,2007,15.9
YR,M,Y84,UK,2007,6.3
YR,F,Y32,UK,2007,50.5
YR,F,Y31,UK,2007,51.5
YR,T,Y25,UK,2007,55.5
YR,M,Y25,UK,2007,53.5
YR,M,Y24,UK,2007,54.4
YR,F,Y56,UK,2007,27.9
YR,T,Y11,UK,2007,69.2
YR,M,Y59,UK,2007,22.2
YR,T,Y6,UK,2007,74.2
YR,T,Y53,UK,2007,29.0
YR,M,Y42,UK,2007,37.3
YR,M,Y39,UK,2007,40.1
YR,F,Y25,UK,2006,57.3
YR,F,Y83,UK,2006,7.8
YR,M,Y57,UK,2006,23.7
YR,M,Y83,UK,2006,6.6
YR,T,Y45,UK,2006,36.2
YR,M,Y75,UK,2006,10.5
YR,T,Y55,UK,2006,27.1
YR,T,Y30,UK,2006,50.5
YR,F,Y48,UK,2006,35.1
YR,T,Y69,UK,2006,15.8
YR,M,Y84,UK,2006,6.2
YR,F,Y32,UK,2006,50.4
YR,F,Y31,UK,2006,51.4
YR,T,Y25,UK,2006,55.3
YR,M,Y25,UK,2006,53.2
YR,M,Y24,UK,2006,54.2
YR,F,Y56,UK,2006,27.8
YR,T,Y11,UK,2006,69.0
YR,M,Y59,UK,2006,22.0
YR,T,Y6,UK,2006,74.0
YR,T,Y53,UK,2006,28.9
YR,M,Y42,UK,2006,37.1
YR,M,Y39,UK,2006,39.9
YR,F,Y25,UK,2005,56.9
YR,F,Y83,UK,2005,7.4
YR,M,Y57,UK,2005,23.3
YR,M,Y83,UK,2005,6.4
YR,T,Y45,UK,2005,35.8
YR,M,Y75,UK,2005,10.3
YR,T,Y55,UK,2005,26.8
YR,T,Y30,UK,2005,50.2
YR,F,Y48,UK,2005,34.7
YR,T,Y69,UK,2005,15.4
YR,M,Y84,UK,2005,6.0
YR,F,Y32,UK,2005,50.1
YR,F,Y31,UK,2005,51.0
YR,T,Y25,UK,2005,55.0
YR,M,Y25,UK,2005,53.0
YR,M,Y24,UK,2005,53.9
YR,F,Y56,UK,2005,27.4
YR,T,Y11,UK,2005,68.7
YR,M,Y59,UK,2005,21.7
YR,T,Y6,UK,2005,73.7
YR,T,Y53,UK,2005,28.5
YR,M,Y42,UK,2005,36.8
YR,M,Y39,UK,2005,39.6
YR,F,Y25,UK,2004,56.8
YR,F,Y83,UK,2004,7.4
YR,M,Y57,UK,2004,23.1
YR,M,Y83,UK,2004,6.3
YR,T,Y45,UK,2004,35.6
YR,M,Y75,UK,2004,10.1
YR,T,Y55,UK,2004,26.6
YR,T,Y30,UK,2004,50.0
YR,F,Y48,UK,2004,34.6
YR,T,Y69,UK,2004,15.3
YR,M,Y84,UK,2004,5.9
YR,F,Y32,UK,2004,49.9
YR,F,Y31,UK,2004,50.9
YR,T,Y25,UK,2004,54.8
YR,M,Y25,UK,2004,52.7
YR,M,Y24,UK,2004,53.6
YR,F,Y56,UK,2004,27.3
YR,T,Y11,UK,2004,68.5
YR,M,Y59,UK,2004,21.4
YR,T,Y6,UK,2004,73.5
YR,T,Y53,UK,2004,28.4
YR,M,Y42,UK,2004,36.5
YR,M,Y39,UK,2004,39.3
YR,F,Y25,UK,2003,56.2
YR,F,Y83,UK,2003,7.0
YR,M,Y57,UK,2003,22.6
YR,M,Y83,UK,2003,6.0
YR,T,Y45,UK,2003,35.1
YR,M,Y75,UK,2003,9.7
YR,T,Y55,UK,2003,26.0
YR,T,Y30,UK,2003,49.4
YR,F,Y48,UK,2003,34.0
YR,T,Y69,UK,2003,14.8
YR,M,Y84,UK,2003,5.6
YR,F,Y32,UK,2003,49.4
YR,F,Y31,UK,2003,50.3
YR,T,Y25,UK,2003,54.2
YR,M,Y25,UK,2003,52.1
YR,M,Y24,UK,2003,53.1
YR,F,Y56,UK,2003,26.8
YR,T,Y11,UK,2003,67.9
YR,M,Y59,UK,2003,20.9
YR,T,Y6,UK,2003,72.9
YR,T,Y53,UK,2003,27.8
YR,M,Y42,UK,2003,36.0
YR,M,Y39,UK,2003,38.8
YR,F,Y25,UK,2002,56.2
YR,F,Y83,UK,2002,7.2
YR,M,Y57,UK,2002,22.4
YR,M,Y83,UK,2002,6.1
YR,T,Y45,UK,2002,35.0
YR,M,Y75,UK,2002,9.7
YR,T,Y55,UK,2002,26.0
YR,T,Y30,UK,2002,49.3
YR,F,Y48,UK,2002,34.1
YR,T,Y69,UK,2002,14.8
YR,M,Y84,UK,2002,5.6
YR,F,Y32,UK,2002,49.4
YR,F,Y31,UK,2002,50.4
YR,T,Y25,UK,2002,54.2
YR,M,Y25,UK,2002,52.0
YR,M,Y24,UK,2002,52.9
YR,F,Y56,UK,2002,26.8
YR,T,Y11,UK,2002,67.9
YR,M,Y59,UK,2002,20.8
YR,T,Y6,UK,2002,72.8
YR,T,Y53,UK,2002,27.8
YR,M,Y42,UK,2002,35.8
YR,M,Y39,UK,2002,38.6
YR,F,Y25,UK,2001,56.2
YR,F,Y83,UK,2001,7.3
YR,M,Y57,UK,2001,22.3
YR,M,Y83,UK,2001,6.0
YR,T,Y45,UK,2001,35.0
YR,M,Y75,UK,2001,9.6
YR,T,Y55,UK,2001,26.0
YR,T,Y30,UK,2001,49.3
YR,F,Y48,UK,2001,34.1
YR,T,Y69,UK,2001,14.8
YR,M,Y84,UK,2001,5.6
YR,F,Y32,UK,2001,49.4
YR,F,Y31,UK,2001,50.4
YR,T,Y25,UK,2001,54.1
YR,M,Y25,UK,2001,51.8
YR,M,Y24,UK,2001,52.8
YR,F,Y56,UK,2001,26.8
YR,T,Y11,UK,2001,67.8
YR,M,Y59,UK,2001,20.7
YR,T,Y6,UK,2001,72.7
YR,T,Y53,UK,2001,27.7
YR,M,Y42,UK,2001,35.7
YR,M,Y39,UK,2001,38.5
YR,F,Y25,UK,2000,56.0
YR,F,Y83,UK,2000,7.3
YR,M,Y57,UK,2000,22.0
YR,M,Y83,UK,2000,5.9
YR,T,Y45,UK,2000,34.7
YR,M,Y75,UK,2000,9.5
YR,T,Y55,UK,2000,25.7
YR,T,Y30,UK,2000,49.0
YR,F,Y48,UK,2000,33.9
YR,T,Y69,UK,2000,14.7
YR,M,Y84,UK,2000,5.6
YR,F,Y32,UK,2000,49.2
YR,F,Y31,UK,2000,50.2
YR,T,Y25,UK,2000,53.9
YR,M,Y25,UK,2000,51.5
YR,M,Y24,UK,2000,52.5
YR,F,Y56,UK,2000,26.6
YR,T,Y11,UK,2000,67.5
YR,M,Y59,UK,2000,20.4
YR,T,Y6,UK,2000,72.5
YR,T,Y53,UK,2000,27.5
YR,M,Y42,UK,2000,35.4
YR,M,Y39,UK,2000,38.2
YR,F,Y25,UK,1999,55.6
YR,F,Y83,UK,1999,7.0
YR,M,Y57,UK,1999,21.6
YR,M,Y83,UK,1999,5.7
YR,T,Y45,UK,1999,34.3
YR,M,Y75,UK,1999,9.2
YR,T,Y55,UK,1999,25.2
YR,T,Y30,UK,1999,48.6
YR,F,Y48,UK,1999,33.4
YR,T,Y69,UK,1999,14.2
YR,M,Y84,UK,1999,5.4
YR,F,Y32,UK,1999,48.7
YR,F,Y31,UK,1999,49.7
YR,T,Y25,UK,1999,53.4
YR,M,Y25,UK,1999,51.1
YR,M,Y24,UK,1999,52.0
YR,F,Y56,UK,1999,26.2
YR,T,Y11,UK,1999,67.1
YR,M,Y59,UK,1999,20.0
YR,T,Y6,UK,1999,72.0
YR,T,Y53,UK,1999,27.0
YR,M,Y42,UK,1999,34.9
YR,M,Y39,UK,1999,37.7
YR,F,Y25,UK,1998,55.6
YR,F,Y83,UK,1998,7.1
YR,M,Y57,UK,1998,21.4
YR,M,Y83,UK,1998,5.7
YR,T,Y45,UK,1998,34.2
YR,M,Y75,UK,1998,9.2
YR,T,Y55,UK,1998,25.2
YR,T,Y30,UK,1998,48.5
YR,F,Y48,UK,1998,33.4
YR,T,Y69,UK,1998,14.2
YR,M,Y84,UK,1998,5.4
YR,F,Y32,UK,1998,48.7
YR,F,Y31,UK,1998,49.7
YR,T,Y25,UK,1998,53.3
YR,M,Y25,UK,1998,50.9
YR,M,Y24,UK,1998,51.8
YR,F,Y56,UK,1998,26.2
YR,T,Y11,UK,1998,67.0
YR,M,Y59,UK,1998,19.8
YR,T,Y6,UK,1998,71.9
YR,T,Y53,UK,1998,26.9
YR,M,Y42,UK,1998,34.8
YR,M,Y39,UK,1998,37.6
YR,F,Y25,UK,1997,55.4
YR,F,Y83,UK,1997,7.1
YR,M,Y57,UK,1997,21.3
YR,M,Y83,UK,1997,5.7
YR,T,Y45,UK,1997,34.0
YR,M,Y75,UK,1997,9.1
YR,T,Y55,UK,1997,25.0
YR,T,Y30,UK,1997,48.3
YR,F,Y48,UK,1997,33.3
YR,T,Y69,UK,1997,14.2
YR,M,Y84,UK,1997,5.4
YR,F,Y32,UK,1997,48.6
YR,F,Y31,UK,1997,49.6
YR,T,Y25,UK,1997,53.2
YR,M,Y25,UK,1997,50.8
YR,M,Y24,UK,1997,51.7
YR,F,Y56,UK,1997,26.0
YR,T,Y11,UK,1997,66.8
YR,M,Y59,UK,1997,19.7
YR,T,Y6,UK,1997,71.8
YR,T,Y53,UK,1997,26.8
YR,M,Y42,UK,1997,34.6
YR,M,Y39,UK,1997,37.4
YR,F,Y25,UK,1996,55.3
YR,F,Y83,UK,1996,7.1
YR,M,Y57,UK,1996,21.0
YR,M,Y83,UK,1996,5.6
YR,T,Y45,UK,1996,33.8
YR,M,Y75,UK,1996,8.9
YR,T,Y55,UK,1996,24.8
YR,T,Y30,UK,1996,48.1
YR,F,Y48,UK,1996,33.1
YR,T,Y69,UK,1996,14.0
YR,M,Y84,UK,1996,5.3
YR,F,Y32,UK,1996,48.4
YR,F,Y31,UK,1996,49.4
YR,T,Y25,UK,1996,52.9
YR,M,Y25,UK,1996,50.4
YR,M,Y24,UK,1996,51.4
YR,F,Y56,UK,1996,25.9
YR,T,Y11,UK,1996,66.6
YR,M,Y59,UK,1996,19.4
YR,T,Y6,UK,1996,71.5
YR,T,Y53,UK,1996,26.6
YR,M,Y42,UK,1996,34.3
YR,M,Y39,UK,1996,37.1
YR,F,Y25,UK,1995,55.1
YR,F,Y83,UK,1995,7.0
YR,M,Y57,UK,1995,20.7
YR,M,Y83,UK,1995,5.5
YR,T,Y45,UK,1995,33.6
YR,M,Y75,UK,1995,8.8
YR,T,Y55,UK,1995,24.6
YR,T,Y30,UK,1995,47.8
YR,F,Y48,UK,1995,32.9
YR,T,Y69,UK,1995,13.8
YR,M,Y84,UK,1995,5.2
YR,F,Y32,UK,1995,48.2
YR,F,Y31,UK,1995,49.2
YR,T,Y25,UK,1995,52.7
YR,M,Y25,UK,1995,50.1
YR,M,Y24,UK,1995,51.1
YR,F,Y56,UK,1995,25.7
YR,T,Y11,UK,1995,66.3
YR,M,Y59,UK,1995,19.1
YR,T,Y6,UK,1995,71.3
YR,T,Y53,UK,1995,26.3
YR,M,Y42,UK,1995,34.0
YR,M,Y39,UK,1995,36.8
YR,F,Y25,UK,1994,55.2
YR,F,Y83,UK,1994,7.3
YR,M,Y57,UK,1994,20.8
YR,M,Y83,UK,1994,5.7
YR,T,Y45,UK,1994,33.7
YR,M,Y75,UK,1994,8.9
YR,T,Y55,UK,1994,24.7
YR,T,Y30,UK,1994,48.0
YR,F,Y48,UK,1994,33.1
YR,T,Y69,UK,1994,14.0
YR,M,Y84,UK,1994,5.4
YR,F,Y32,UK,1994,48.4
YR,F,Y31,UK,1994,49.4
YR,T,Y25,UK,1994,52.8
YR,M,Y25,UK,1994,50.2
YR,M,Y24,UK,1994,51.2
YR,F,Y56,UK,1994,25.9
YR,T,Y11,UK,1994,66.5
YR,M,Y59,UK,1994,19.2
YR,T,Y6,UK,1994,71.4
YR,T,Y53,UK,1994,26.4
YR,M,Y42,UK,1994,34.1
YR,M,Y39,UK,1994,36.9
YR,F,Y25,UK,1993,54.7
YR,F,Y83,UK,1993,6.8
YR,M,Y57,UK,1993,20.2
YR,M,Y83,UK,1993,5.3
YR,T,Y45,UK,1993,33.1
YR,M,Y75,UK,1993,8.5
YR,T,Y55,UK,1993,24.1
YR,T,Y30,UK,1993,47.4
YR,F,Y48,UK,1993,32.5
YR,T,Y69,UK,1993,13.6
YR,M,Y84,UK,1993,5.0
YR,F,Y32,UK,1993,47.8
YR,F,Y31,UK,1993,48.8
YR,T,Y25,UK,1993,52.2
YR,M,Y25,UK,1993,49.6
YR,M,Y24,UK,1993,50.6
YR,F,Y56,UK,1993,25.3
YR,T,Y11,UK,1993,65.9
YR,M,Y59,UK,1993,18.6
YR,T,Y6,UK,1993,70.8
YR,T,Y53,UK,1993,25.9
YR,M,Y42,UK,1993,33.5
YR,M,Y39,UK,1993,36.3
